# example 2
0 9.18E-13
0.02 1.77E-12
0.04 6.59E-12
0.06 7.32E-12
0.08 1.17E-11
0.1 1.36E-11
0.12 1.88E-11
0.14 2.14E-11
0.16 2.54E-11
0.18 3.01E-11
0.2 3.46E-11
0.22 3.95E-11
0.24 4.57E-11
0.26 5.07E-11
0.28 5.63E-11
0.3 7.04E-11
0.32 7.58E-11
0.34 8.91E-11
0.36 1.20E-10
0.38 1.55E-10
0.4 1.93E-10
0.42 2.21E-10
0.44 2.88E-10
0.46 4.06E-10
0.48 4.94E-10
0.5 6.70E-07
0.52 1.00E-04
0.54 1.00E-04
0.56 1.00E-04
0.58 1.00E-04
0.6 1.00E-04
0.62 1.00E-04
0.64 1.00E-04
0.66 1.00E-04
0.68 1.00E-04
0.7 1.00E-04
0.7 1.00E-04
0.68 1.00E-04
0.66 1.00E-04
0.64 1.00E-04
0.62 1.00E-04
0.6 1.00E-04
0.58 1.00E-04
0.56 1.00E-04
0.54 1.00E-04
0.52 1.00E-04
0.5 1.00E-04
0.48 1.00E-04
0.46 1.00E-04
0.44 1.00E-04
0.42 1.00E-04
0.4 1.00E-04
0.38 1.00E-04
0.36 1.00E-04
0.34 9.60E-05
0.32 9.14E-05
0.3 8.53E-05
0.28 7.95E-05
0.26 7.40E-05
0.24 6.80E-05
0.22 6.22E-05
0.2 5.53E-05
0.18 4.94E-05
0.16 4.41E-05
0.14 3.77E-05
0.12 3.22E-05
0.1 2.68E-05
0.08 2.13E-05
0.06 1.60E-05
0.04 1.05E-05
0.02 5.40E-06
0 1.01E-07
0 8.06E-08
-0.02 4.30E-06
-0.04 7.09E-06
-0.06 3.58E-06
-0.08 2.86E-06
-0.1 3.61E-08
-0.12 5.15E-09
-0.14 1.11E-08
-0.16 8.58E-09
-0.18 1.21E-10
-0.2 1.68E-10
-0.22 1.36E-10
-0.24 1.56E-10
-0.26 1.52E-10
-0.28 1.40E-10
-0.3 1.59E-10
-0.32 1.79E-10
-0.34 1.89E-10
-0.36 1.93E-10
-0.38 2.14E-10
-0.4 2.71E-10
-0.42 2.41E-10
-0.44 2.50E-10
-0.46 2.59E-10
-0.48 2.67E-10
-0.5 2.66E-10
-0.52 3.01E-10
-0.54 3.12E-10
-0.56 3.26E-10
-0.58 3.54E-10
-0.6 3.59E-10
-0.6 3.29E-10
-0.58 2.71E-10
-0.56 2.90E-10
-0.54 2.32E-10
-0.52 2.32E-10
-0.5 2.12E-10
-0.48 1.97E-10
-0.46 1.63E-10
-0.44 1.64E-10
-0.42 1.50E-10
-0.4 1.08E-10
-0.38 9.48E-11
-0.36 7.92E-11
-0.34 6.97E-11
-0.32 6.93E-11
-0.3 5.96E-11
-0.28 4.96E-11
-0.26 4.47E-11
-0.24 3.79E-11
-0.22 3.41E-11
-0.2 2.95E-11
-0.18 2.59E-11
-0.16 2.14E-11
-0.14 1.66E-11
-0.12 1.30E-11
-0.1 1.21E-11
-0.08 1.03E-11
-0.06 7.92E-12
-0.04 3.08E-12
-0.02 1.95E-12
0 1.64E-12
